Nom,Adreça,Districte,Barri,Codi Postal,Telèfon,Telèfon 2,Latitud,Longitud,Web
Restaurant Taverna La Llesca,Carrer Terol 6,Gràcia,la Vila de Gràcia,08012,+34 932850246,,41.402446149999996,2.1572524444444445,
Bar Denver,Plaça Tetuan 16,Eixample,la Dreta de l'Eixample,08010,+34 932456521,,41.39478750833333,2.174682888888889,
Bar Restaurant Santa Teresa,Plaça Tetuan 35,Eixample,la Dreta de l'Eixample,08013,+34 932323155,,41.395727111111114,2.1762294166666667,
Bar Restaurant La Cigale,Carrer Tordera 50,Gràcia,la Vila de Gràcia,08012,+34 934575823,,41.401899291666666,2.1619663055555556,
Restaurant Cal Boter,Carrer Tordera 62,Gràcia,la Vila de Gràcia,08012,+34 934588462,,41.40218168333333,2.1623759166666665,
Bar Restaurant Zuccari,Passeig Torras i Bages 5,Sant Andreu,Sant Andreu,08030,+34 933453057,,41.43665749444444,2.1910086388888885,
Restaurant Tornassol,Carrer Torrent de les Flors 53,Gràcia,la Vila de Gràcia,08024,+34 932131018,,41.406167599999996,2.160168833333333,
Restaurant La Cova d'en Vidalet,Carrer Torrent d'en Vidalet 22,Gràcia,la Vila de Gràcia,08012,+34 932135530,,41.40379227222222,2.1597602499999997,
Bar Siete Hermanos,Travessera Corts 218,Les Corts,les Corts,08028,+34 934903552,,41.38411756111111,2.1311179444444446,
Restaurant Calanda,Travessera Corts 287,Les Corts,les Corts,08014,+34 933224001,,41.386701366666664,2.134621722222222,
Restaurant Como en Casa,Travessera Corts 373,Les Corts,les Corts,08029,+34 933211082,,41.39030155555555,2.140615611111111,
Restaurant Pizzeria Sorrento,Travessera Gràcia 30,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08021,+34 932095517,,41.39459431111111,2.147375388888889,
Bar Restaurant Mesón del Jamón,Carrer Trinxant 119,Sant Andreu,Navas,08041,+34 934553157,,41.417436625,2.1815856944444443,
Restaurant Xinès Ciudad Feliz,Carrer Turó Blau 20,Nou Barris,la Prosperitat,08016,+34 933546034,,41.43935273333333,2.1761191666666666,
Bar Restaurant Dore,Carrer Tuset 9,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08006,+34 932096564,,41.395722705555556,2.1520677777777775,
Bar Anahuac,Tuset 0032,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08006,+34 932185237,,41.39648657777778,2.1514320833333334,
Bar Estudiantill.,Plaça Universitat 0012,Eixample,la Dreta de l'Eixample,08007,+34 933023125,,41.38622966388889,2.164626333333333,
Restaurant Cerveseria Alt Heidelberg,Rda Universitat 5,Eixample,la Dreta de l'Eixample,08007,+34 933181032,+34 933019338,41.38628525833333,2.1651914999999997,
Restaurants Café Café,Rda Universitat 37,Eixample,la Dreta de l'Eixample,08007,+34 934125055,,41.38729494444444,2.167885861111111,
Cafeteria Bracafé *Comte d'Urgell,Carrer Comte d'Urgell 35,Eixample,Sant Antoni,08011,+34 934265228,,41.38073342777778,2.160161083333333,http://www.bracafe.com
Bar Restaurant El Rebost de Paradis,Carrer Comte d'Urgell 110,Eixample,l'Antiga Esquerra de l'Eixample,08011,+34 934549211,,41.38421935555556,2.156074,
Bar Restaurant Rincón del Ángel,Carrer Comte d'Urgell 160,Eixample,l'Antiga Esquerra de l'Eixample,08036,+34 933231145,,41.38638345555555,2.1532085277777777,
Restaurant Pizza Grill *Comte Urgell,Carrer Comte d'Urgell 240 bxs,Eixample,l'Antiga Esquerra de l'Eixample,08036,+34 933224006,,41.390377844444444,2.148131222222222,http://www.areas.com
Bar Restaurant Queens,Carrer Comte d'Urgell 241,Eixample,l'Antiga Esquerra de l'Eixample,08036,+34 934396796,+34 934531786,41.39093633611111,2.146628777777778,http://www.restaurantequeens.com
Restaurant Dolceta 2,Carrer Comte d'Urgell 266,Eixample,l'Antiga Esquerra de l'Eixample,08036,+34 933218351,+34 934398000,41.39108956111111,2.1469567222222223,
Restaurant El Suquet,Carrer València 153,Eixample,l'Antiga Esquerra de l'Eixample,08011,+34 934536844,+34 933236762,41.38781326388889,2.156646583333333,
Bar Restaurant Chiu Chiu,Carrer València 158,Eixample,l'Antiga Esquerra de l'Eixample,08011,+34 934533027,,41.38620806944444,2.154875888888889,
Restaurant Japonès Yu,Carrer València 204 bxs,Eixample,l'Antiga Esquerra de l'Eixample,08011,+34 934519446,,41.38872278888889,2.1582234166666665,
Restaurant Muffins,Carrer València 210,Eixample,l'Antiga Esquerra de l'Eixample,08011,+34 934540221,+34 934539139,41.38921469444444,2.1588725833333333,
Restaurant Ca l'Estevet,Carrer Valldonzella 46,Ciutat Vella,el Raval,08001,+34 933024186,,41.38327395,2.1648123333333333,
Bar Celler Ciurana,Vallespir 185,Les Corts,les Corts,08014,+34 934907674,+34 934902473,41.384609766666664,2.1334585833333333,
Restaurant Tangerina,Carrer Verdi 179*181 bxs,Gràcia,la Vila de Gràcia,08012,+34 932370268,,41.40786695277777,2.1528268055555553,http://www.tangerinarestaurant.com
Bar Restaurant Verdi 30,Carrer Verdi 30 bxs,Gràcia,la Vila de Gràcia,08012,+34 932370335,,41.40389120555555,2.156890944444444,
Restaurant Nabuco,Carrer Verdi 79,Gràcia,la Vila de Gràcia,08012,+34 934153686,,41.40511406388889,2.1554087777777777,
Restaurant La Vinateria de Verdi,Carrer Verdi 138,Gràcia,la Vila de Gràcia,08012,+34 934153996,,41.40726547777778,2.1534868333333335,
Restaurant Glòria,Passatge Vila i Rosell 4,Horta-Guinardó,Horta,08032,+34 934293039,,41.429017144444444,2.160486361111111,
Bar Restaurant Monbiela,Carrer Vila i Vilà 27,Sants-Montjuïc,el Poble Sec,08004,+34 934425013,,41.373025858333335,2.1724496944444445,
Restaurant Kasbah,Carrer Vila i Vilà 82,Sants-Montjuïc,el Poble Sec,08004,+34 933298384,,41.37448357777778,2.1681512499999998,
Bar Restaurant Europa Döner Kebab,Carrer Vila i Vilà 95,Sants-Montjuïc,el Poble Sec,08004,+34 934418322,,41.37441037777778,2.167758083333333,
Restaurant Pizzeria Salerno,Carrer Viladomat 80,Eixample,Sant Antoni,08015,+34 933250723,,41.378508394444445,2.1590399166666665,
Restaurant Cafeteria La Llar del Pa Torrat,Carrer Vilamarí 102,Eixample,la Nova Esquerra de l'Eixample,08015,+34 932260368,,41.379979075,2.1480603055555556,
Restaurant La Ronda,Carrer Villarroel 1*3,Eixample,Sant Antoni,08011,+34 934264352,+34 934245554,41.380455605555554,2.162877361111111,
Bar Restaurant Esterri,Carrer Villarroel 19,Eixample,Sant Antoni,08011,+34 933250188,,41.38128781666667,2.161773777777778,
Bar Pizzeria La Gírgola,Carrer Villarroel 57,Eixample,l'Antiga Esquerra de l'Eixample,08011,+34 933236220,,41.38330366666667,2.159097861111111,
Restaurant Freiduria El Pescadito Frito,Carrer Villarroel 110,Eixample,l'Antiga Esquerra de l'Eixample,08011,+34 934544313,,41.38555178055555,2.156480222222222,
Bar Restaurant Azkai,Carrer Villarroel 140,Eixample,l'Antiga Esquerra de l'Eixample,08036,+34 933238336,,41.387018930555556,2.1545453055555557,
Restaurant Celestial,Carrer Argenteria 53 bxs,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",08003,+34 933104294,,41.38375467777778,2.1808663333333334,
Restaurant Treboada,Carrer Villarroel 223,Eixample,l'Antiga Esquerra de l'Eixample,08036,+34 934192295,,41.39053146111111,2.149509777777778,http://www.treboada-xarabal.com
Restaurant La Bota del Racó,Avinguda Mare Déu de Montserrat 232,Horta-Guinardó,el Guinardó,08041,+34 934566002,+34 934551900,41.422155733333334,2.174679333333333,http://www.labotadelraco.com
Bar Restaurant El Porron,Carrer Doctor Trueta 225,Sant Martí,el Poblenou,08005,+34 932252089,,41.399427672222224,2.204408972222222,
Bar Restaurant Can Purichi,Carrer Wellington 78,Sant Martí,el Parc i la Llacuna del Poblenou,08018,+34 933009460,,41.392014933333336,2.1862963055555555,
Bar Restaurant A Nosa Casa,Carrer Guitard 41,Sants-Montjuïc,Sants,08014,+34 934910255,,41.38214920555556,2.137740638888889,
Restaurant Casa Luís,Guitard 66,Les Corts,les Corts,08014,+34 933213041,,41.38366363611111,2.137033138888889,
Restaurant Los Toreros,Carrer Xuclà 3*5,Ciutat Vella,el Raval,08001,+34 933182325,,41.38295346666667,2.170940083333333,
Bar La Terraza,Carrer Saragossa 85 bxs 4,Sarrià-Sant Gervasi,el Putxet i el Farró,08006,+34 932096991,,41.4033192,2.1471833333333334,
Restaurant Pizzeria La Nova Fontana,Carrer Santjoanistes 6,Sarrià-Sant Gervasi,el Putxet i el Farró,08006,+34 932170076,,41.40364278333333,2.1475150555555556,
Restaurant Xinès Jardin Chino,Passeig Zona Franca 174,Sants-Montjuïc,la Marina de Port,08038,+34 932965040,,41.36020529722222,2.1395969722222223,
Restaurant Can Benet,Plaça Mañé i Flaquer 5,Sarrià-Sant Gervasi,el Putxet i el Farró,08006,+34 932185239,+34 932180108,41.40380350833333,2.1479868333333334,
Restaurant Can Ros,Carrer Almirall Aixada 7,Ciutat Vella,la Barceloneta,08003,+34 932215049,+34 932214579,41.37732513611111,2.189372833333333,
Bar Cafeteria Can Tiberi,Passeig Torras i Bages 13,Sant Andreu,Sant Andreu,08030,+34 933455749,,41.437167499999994,2.190722333333333,
Bar Llibertat,Plaça Llibertat 1,Gràcia,la Vila de Gràcia,08012,+34 934157296,,41.399869,2.1539680277777777,
Cafeteria Snack Bar Scorpio,Carrer Alí Bei 4,Eixample,la Dreta de l'Eixample,08010,+34 932327506,,41.391416630555554,2.1782934999999997,
Bar Restaurant Najera II,Carrer Aragó 67,Eixample,la Nova Esquerra de l'Eixample,08015,+34 932267809,,41.381079561111115,2.149963111111111,
Bar Restaurant Diamant,Carrer Astúries 67 Principal 02,Gràcia,la Vila de Gràcia,08012,+34 932378123,,41.404169869444445,2.155537444444444,
Bar Restaurant Tres Vilas,Carrer Berlín 22,Sants-Montjuïc,Sants,08014,+34 934103801,+34 934395120,41.38265691111111,2.1381266666666665,
Restaurant Can Fusté,Gran Via Carles III 50*52,Les Corts,les Corts,08028,+34 933393000,,41.38319156666667,2.1282728055555555,
Restaurant Shalimar,Carrer Carme 71,Ciutat Vella,el Raval,08001,+34 933293496,,41.38064326944445,2.167662222222222,
Restaurant Ria de Mera,Carrer Consell de Cent 299,Eixample,l'Antiga Esquerra de l'Eixample,08007,+34 934543308,,41.388673575,2.162304,
Bar Oro Negro,Diputació 220,Eixample,l'Antiga Esquerra de l'Eixample,08011,+34 934531142,,41.386227391666665,2.1616886388888887,
Restaurant Pizzeria Diego,Rambla Fabra i Puig 35,Sant Andreu,Sant Andreu,08030,+34 933114351,,41.429973524999994,2.1873462499999996,
Bar Pans & Company *Ferran,Carrer Ferran 14,Ciutat Vella,el Barri Gòtic,08002,+34 933026211,+34 934126641,41.38087625277778,2.1749616944444443,http://www.pansandcompany.com
Restaurant Pizzeria La Piazzenza,Avinguda Gaudí 27*29 bxs,Eixample,la Sagrada Família,08025,+34 934363817,,41.406580383333335,2.1742419166666664,
Bar Pans & Company *Av Gaudi,Avinguda Gaudí 58,Eixample,la Sagrada Família,08025,+34 934500495,+34 934501620,41.409100188888885,2.174525138888889,http://www.pansandcompany.com
Bar Restaurant Los Pergaminos,Carrer Ample 19,Ciutat Vella,el Barri Gòtic,08002,+34 933022029,,41.37981249166667,2.1791039166666666,
Restaurant Marisqueria Rosalert,Avinguda Diagonal 301,Eixample,la Dreta de l'Eixample,08013,+34 932071019,+34 932075458,41.39975435277778,2.1733775,http://www.rosalert.com
Restaurant Iborra 10,Carrer Ivorra 10*12,Sarrià-Sant Gervasi,Sarrià,08034,+34 932045900,,41.39739434166667,2.1229008611111113,
Bar Granja de Gavà,Carrer Joaquín Costa 37,Ciutat Vella,el Raval,08001,+34 933175883,,41.38252784722222,2.165730583333333,
Restaurant El Rebost de Maria,Gran Via Corts Catalanes 439,Eixample,la Nova Esquerra de l'Eixample,08015,+34 934268455,+34 934232199,41.37853804444445,2.1533562777777777,
Restaurant Tip Top *Poble Espanyol,Avinguda Francesc Ferrer Guàrdia 13*27,Sants-Montjuïc,el Poble-sec,08038,+34 934236360,+34 934239982,41.369117261111114,2.1467245833333335,http://www.tip-top.es
Bar McDonald's *Gran Gracia,Carrer Gran de Gràcia 113,Gràcia,la Vila de Gràcia,08012,+34 932178432,+34 932178571,41.401405175,2.153477888888889,http://www.mcdonalds.es
Bar Restaurant  Aparici,Plaça Mercadal 17,Sant Andreu,Sant Andreu,08030,+34 933452865,,41.434637213888884,2.1880236944444444,
Bodega Marín,Carrer Milà i Fontanals 72,Gràcia,la Vila de Gràcia,08012,,,41.402509027777775,2.1609719722222223,
Cafeteria La Bodegueta,Muntaner 64,Eixample,l'Antiga Esquerra de l'Eixample,08011,+34 934515104,,41.3869911,2.159109611111111,
Restaurant La Rosa del Desierto,Plaça Narcís Oller 7,Gràcia,la Vila de Gràcia,08006,+34 932374590,,41.39706413888889,2.1556237777777776,
Restaurant La Maison de Languedoc Roussillon,Carrer Pau Claris 77 bxs,Eixample,la Dreta de l'Eixample,08010,+34 933010498,+34 933012552,41.38919545555556,2.171613583333333,
Restaurant Biocenter,Carrer Pintor Fortuny 25,Ciutat Vella,el Raval,08001,+34 933014583,+34 667042313,41.382565175,2.1693121388888885,http://www.restaurantebiocenter.es
Restaurant Asador Donosti,Carrer Rosselló 365,Gràcia,el Camp d'en Grassot i Gràcia Nova,08025,+34 934594025,,41.40243459722222,2.1692681388888886,
Restaurant El Portaló de Sant Andreu,Carrer Gran de Sant Andreu 34,Sant Andreu,Sant Andreu,08030,+34 932740991,,41.42866518611111,2.1905510833333333,
Restaurant Pizzeria La Cava d'Horta,Carrer Tajo 19,Horta-Guinardó,Horta,08031,+34 934070655,,41.42996485833333,2.16269,
Restaurant Sherry,Taquígraf Garriga 183,Les Corts,les Corts,08029,+34 934108122,,41.39067256944445,2.139932027777778,
Restaurant Pizzeria Verona,Carrer Teodora Lamadrid 3,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,08022,+34 934189427,,41.405746663888884,2.138021222222222,
Bar Pans & Company *Trav de Gracia,Travessera Gràcia 29,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08021,+34 934146125,+34 934141533,41.39445661944444,2.146732888888889,http://www.pansandcompany.com
Restaurant Petipé,Carrer Vic 25,Gràcia,la Vila de Gràcia,08006,+34 932179348,+34 932177087,41.39921926388889,2.1546074166666664,
Ristorante Inmortales,Carrer Sagués 25,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08021,+34 932023579,+34 932006318,41.394226777777774,2.1448716111111112,http://www.losinmortales.es
Bar Restaurant Bosque Palermo,Carrer València 163,Eixample,l'Antiga Esquerra de l'Eixample,08011,+34 934531009,,41.38813097777778,2.1570355277777775,
Restaurant Bar Jai-ca,Rector Bruguera 0019,Ciutat Vella,la Barceloneta,08003,+34 933195002,,41.38066898888889,2.187818777777778,
Restaurant  O Horto,Carrer Aragó 352,Eixample,la Dreta de l'Eixample,08009,+34 932651124,,41.39643502222222,2.1708177777777777,
Restaurant The American Food Supliers,Passeig Gràcia 0081,Eixample,la Dreta de l'Eixample,08008,+34 934879914,,41.39418507777778,2.161881222222222,
Bar restaurant Picón - 2,Via Júlia 14,Nou Barris,la Prosperitat,08016,+34 933532788,,41.439313516666665,2.1757103888888887,http://www.moronva@yahoo.es
Restaurant Xinès Ciudad Feliz II,Via Júlia 22*24,Nou Barris,la Prosperitat,08016,+34 933540443,,41.43967473888888,2.176054888888889,
Restaurant Japonès Iho,Passatge Lluís Pellicer 18,Eixample,l'Antiga Esquerra de l'Eixample,08036,+34 934105051,,41.39322016388889,2.149720527777778,
Restaurant Os Ancares,Carrer Mallorca 287,Eixample,la Dreta de l'Eixample,08037,+34 932074860,,41.39621241111111,2.1653044166666664,
Restaurant El Pescadito de Mandri,Carrer Mandri 54,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,08022,+34 934187932,,41.40451638888889,2.1326429444444446,
Restaurant A' Palloza,Carrer Olivera 27,Sants-Montjuïc,el Poble Sec,08004,+34 934242382,,41.373451075,2.1573404722222222,
Bar Restaurant Edelmann,Avinguda Portal de l'Àngel 6,Ciutat Vella,el Barri Gòtic,08002,+34 933176283,,41.38492899166667,2.1739563333333334,
Restaurant Arco Iris,Carrer Roger de Flor 216,Eixample,la Dreta de l'Eixample,08013,+34 934582283,,41.399836775,2.1714528888888887,
Restaurant Bonanova,Carrer Sant Gervasi de Cassoles 103,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,08022,+34 934171033,+34 934340622,41.406180649999996,2.1350131388888887,
Restaurant L'Hostal del Pintor,Carrer Sant Honorat 7,Ciutat Vella,el Barri Gòtic,08002,+34 933014065,+34 934122820,41.38305007777778,2.175957055555555,http://www.gruptravi.com
Bar Pans & Company *Rda Sant Pau,Rda Sant Pau 56,Ciutat Vella,el Raval,08001,+34 934415246,+34 934424209,41.377972316666664,2.1643394166666665,http://www.pansandcompany.com
Bar Restaurant Golden,Carrer Santaló 19,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08021,+34 932095513,,41.395095325,2.146341611111111,
Bar Pans & Company *Tuset,Carrer Tuset 30,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08006,+34 932174884,+34 934150640,41.39641740555555,2.151507194444444,http://www.pansandcompany.com
Bar Restaurant O'Retorno,Carrer Comte d'Urgell 168,Eixample,l'Antiga Esquerra de l'Eixample,08036,+34 934531104,,41.386840166666666,2.15260275,
Bar Pans & Company *Urgell,Carrer Comte d'Urgell 238,Eixample,l'Antiga Esquerra de l'Eixample,08036,+34 934199384,+34 934398197,41.38979936111111,2.1486703888888887,http://www.pansandcompany.com
Restaurant Boston Pizza *València,Carrer València 67,Eixample,la Nova Esquerra de l'Eixample,08015,+34 932268585,,41.38273749444444,2.149904222222222,
